"Population and Actual and Percentage Change 2011 to 2016 by Electoral Division, CensusYear and Statistic ",,,,,,,
,,,,,,,
,,,,,,,
 , ,Population - 2011 (Number),Population - 2016 (Number),Males - 2016 (Number),Females - 2016 (Number),Actual change 2011-2016 (Number),Percentage change 2011-2016 (%)
2016,,,,,,,
 ,"001 Arklow No. 1 Urban, Co. Wicklow",9817,9956,4875,5081,139,1.4
 ,"002 Arklow No. 2 Urban, Co. Wicklow",2953,3011,1453,1558,58,2
 ,"Bray Town, Co. Wicklow",26877,27760,13321,14439,883,3.3
 ,"003 Bray No. 1, Co. Wicklow",1746,1845,946,899,99,5.7
 ,"004 Bray No. 2, Co. Wicklow",6192,6410,3073,3337,218,3.5
 ,"005 Bray No. 3, Co. Wicklow",6424,6481,3132,3349,57,0.9
 ,"006 Rathmichael (Bray), Co. Wicklow",2380,2418,1150,1268,38,1.6
 ,"035 Kilmacanoge (Part Urban), Co. Wicklow",10135,10606,5020,5586,471,4.6
 ,"Wicklow Town, Co. Wicklow",6761,6752,3351,3401,-9,-0.1
 ,"007 Wicklow Urban, Co. Wicklow",6761,6752,3351,3401,-9,-0.1
 ,"Baltinglass No. 1 rural area, Co. Wicklow",18098,19024,9571,9453,926,5.1
 ,"008 Ballinguile, Co. Wicklow",138,136,73,63,-2,-1.4
 ,"009 Baltinglass, Co. Wicklow",2614,2696,1331,1365,82,3.1
 ,"010 Blessington, Co. Wicklow",4399,4607,2273,2334,208,4.7
 ,"011 Burgage, Co. Wicklow",1786,2063,1039,1024,277,15.5
 ,"012 Donaghmore, Co. Wicklow",396,429,226,203,33,8.3
 ,"013 Donard, Co. Wicklow",508,522,251,271,14,2.8
 ,"014 Dunlavin, Co. Wicklow",1327,1355,682,673,28,2.1
 ,"015 Eadestown, Co. Wicklow",201,196,109,87,-5,-2.5
 ,"016 Hartstown, Co. Wicklow",276,272,130,142,-4,-1.4
 ,"017 Hollywood, Co. Wicklow",727,770,393,377,43,5.9
 ,"018 Humewood, Co. Wicklow",304,318,150,168,14,4.6
 ,"019 Imael North, Co. Wicklow",235,257,149,108,22,9.4
 ,"020 Imael South, Co. Wicklow",254,251,136,115,-3,-1.2
 ,"021 Kilbride, Co. Wicklow",975,968,506,462,-7,-0.7
 ,"022 Lackan, Co. Wicklow",743,812,418,394,69,9.3
 ,"023 Lugglass, Co. Wicklow",155,166,75,91,11,7.1
 ,"024 Rathdangan, Co. Wicklow",445,459,258,201,14,3.1
 ,"025 Rathsallagh, Co. Wicklow",269,293,143,150,24,8.9
 ,"026 Stratford, Co. Wicklow",430,459,217,242,29,6.7
 ,"027 Talbotstown, Co. Wicklow",395,413,216,197,18,4.6
 ,"028 The Grange, Co. Wicklow",419,432,210,222,13,3.1
 ,"029 Tober, Co. Wicklow",524,514,260,254,-10,-1.9
 ,"030 Togher, Co. Wicklow",332,342,174,168,10,3
 ,"031 Tuckmill, Co. Wicklow",246,294,152,142,48,19.5
 ,"Rathdown No. 2 rural area, Co. Wicklow",20261,21012,10196,10816,751,3.7
 ,"032 Delgany, Co. Wicklow",5652,5983,2906,3077,331,5.9
 ,"033 Enniskerry, Co. Wicklow",2765,2894,1378,1516,129,4.7
 ,"034 Greystones, Co. Wicklow",7151,7259,3528,3731,108,1.5
 ,"035 Kilmacanoge (Part Rural), Co. Wicklow",3908,4088,2000,2088,180,4.6
 ,"036 Powerscourt, Co. Wicklow",785,788,384,404,3,0.4
 ,"Rathdrum rural area, Co. Wicklow",43953,46924,23372,23552,2971,6.8
 ,"037 Altidore, Co. Wicklow",363,363,189,174,0,0
 ,"038 Arklow Rural, Co. Wicklow",1310,1386,702,684,76,5.8
 ,"039 Aughrim, Co. Wicklow",1760,1860,890,970,100,5.7
 ,"040 Avoca, Co. Wicklow",682,739,389,350,57,8.4
 ,"041 Ballinaclash, Co. Wicklow",636,638,340,298,2,0.3
 ,"042 Ballinacor, Co. Wicklow",309,346,169,177,37,12
 ,"043 Ballinderry, Co. Wicklow",459,467,251,216,8,1.7
 ,"044 Ballyarthur, Co. Wicklow",1024,1101,545,556,77,7.5
 ,"045 Ballycullen, Co. Wicklow",269,333,178,155,64,23.8
 ,"046 Brockagh, Co. Wicklow",776,739,375,364,-37,-4.8
 ,"047 Calary, Co. Wicklow",302,332,166,166,30,9.9
 ,"048 Cronebane, Co. Wicklow",478,465,237,228,-13,-2.7
 ,"049 Dunganstown East, Co. Wicklow",764,842,397,445,78,10.2
 ,"050 Dunganstown South, Co. Wicklow",840,902,459,443,62,7.4
 ,"051 Dunganstown West, Co. Wicklow",453,450,233,217,-3,-0.7
 ,"052 Ennereilly, Co. Wicklow",382,411,204,207,29,7.6
 ,"053 Glendalough, Co. Wicklow",268,282,142,140,14,5.2
 ,"054 Glenealy, Co. Wicklow",2750,2750,1404,1346,0,0
 ,"055 Kilbride, Co. Wicklow",909,892,486,406,-17,-1.9
 ,"056 Kilcoole, Co. Wicklow",9834,10730,5217,5513,896,9.1
 ,"057 Killiskey, Co. Wicklow",1038,1046,511,535,8,0.8
 ,"058 Knockrath, Co. Wicklow",239,246,131,115,7,2.9
 ,"059 Moneystown, Co. Wicklow",303,301,155,146,-2,-0.7
 ,"060 Newcastle Lower, Co. Wicklow",2209,2339,1207,1132,130,5.9
 ,"061 Newcastle Upper, Co. Wicklow",3584,4004,2021,1983,420,11.7
 ,"062 Oldtown, Co. Wicklow",583,613,307,306,30,5.1
 ,"063 Rathdrum, Co. Wicklow",2448,2534,1253,1281,86,3.5
 ,"064 Togher, Co. Wicklow",1204,1382,690,692,178,14.8
 ,"065 Trooperstown, Co. Wicklow",348,336,176,160,-12,-3.4
 ,"066 Wicklow Rural, Co. Wicklow",7429,8095,3948,4147,666,9
 ,"Shillelagh rural area, Co. Wicklow",7920,7893,3997,3896,-27,-0.3
 ,"067 Aghowle, Co. Wicklow",213,238,131,107,25,11.7
 ,"068 Ballingate, Co. Wicklow",398,403,208,195,5,1.3
 ,"069 Ballinglen, Co. Wicklow",230,211,101,110,-19,-8.3
 ,"070 Ballybeg, Co. Wicklow",201,184,102,82,-17,-8.5
 ,"071 Carnew, Co. Wicklow",1759,1708,862,846,-51,-2.9
 ,"072 Coolattin, Co. Wicklow",290,278,137,141,-12,-4.1
 ,"073 Coolballintaggart, Co. Wicklow",461,492,247,245,31,6.7
 ,"074 Coolboy, Co. Wicklow",546,585,313,272,39,7.1
 ,"075 Cronelea, Co. Wicklow",190,175,88,87,-15,-7.9
 ,"076 Kilballyowen, Co. Wicklow",345,346,181,165,1,0.3
 ,"077 Killinure, Co. Wicklow",340,334,168,166,-6,-1.8
 ,"078 Kilpipe, Co. Wicklow",406,428,224,204,22,5.4
 ,"079 Money, Co. Wicklow",149,146,79,67,-3,-2
 ,"080 Rath, Co. Wicklow",261,277,147,130,16,6.1
 ,"081 Shillelagh, Co. Wicklow",595,586,290,296,-9,-1.5
 ,"082 Tinahely, Co. Wicklow",1536,1502,719,783,-34,-2.2
 ,Munster,1246088,1280394,635315,645079,34306,2.8
 ,Clare,117196,118627,58721,59906,1431,1.2
 ,Ennis Town,20180,20475,9746,10729,295,1.5
 ,"001 Ennis No. 1 Urban, Co. Clare",1546,1430,681,749,-116,-7.5
 ,"002 Ennis No. 2 Urban, Co. Clare",1767,1812,910,902,45,2.5
 ,"003 Ennis No. 3 Urban, Co. Clare",256,227,110,117,-29,-11.3
 ,"004 Ennis No. 4 Urban, Co. Clare",1396,1471,683,788,75,5.4
 ,"026 Clareabbey (Part Urban), Co. Clare",0,0,0,0,0,0
 ,"029 Doora (Part Urban), Co. Clare",348,356,181,175,8,2.3
 ,"032 Ennis Rural (Part Urban), Co. Clare",14816,15132,7160,7972,316,2.1
 ,"042 Spancelhill (Part Urban), Co. Clare",51,47,21,26,-4,-7.8
 ,"Kilrush Town, Co. Clare",2539,2564,1226,1338,25,1
 ,"005 Kilrush Urban, Co. Clare",2539,2564,1226,1338,25,1
 ,"Ballyvaghan rural area, Co. Clare",2699,2714,1276,1438,15,0.6
 ,"006 Abbey, Co. Clare",448,461,217,244,13,2.9
 ,"007 Carran, Co. Clare",105,116,50,66,11,10.5
 ,"008 Castletown, Co. Clare",83,81,37,44,-2,-2.4
 ,"009 Derreen, Co. Clare",101,119,60,59,18,17.8
 ,"010 Drumcreehy, Co. Clare",498,421,187,234,-77,-15.5
 ,"011 Gleninagh, Co. Clare",162,145,76,69,-17,-10.5
 ,"012 Lisdoonvarna, Co. Clare",861,961,437,524,100,11.6
 ,"013 Mountelva, Co. Clare",94,81,41,40,-13,-13.8
 ,"014 Noughaval, Co. Clare",125,117,63,54,-8,-6.4
 ,"015 Oughtmama, Co. Clare",128,120,63,57,-8,-6.3
 ,"016 Rathborney, Co. Clare",94,92,45,47,-2,-2.1
 ,"Corrofin rural area, Co. Clare",3599,3619,1825,1794,20,0.6
 ,"017 Ballyeighter, Co. Clare",50,59,30,29,9,18
 ,"018 Boston, Co. Clare",294,287,153,134,-7,-2.4
 ,"019 Corrofin, Co. Clare",1248,1325,665,660,77,6.2
 ,"020 Glenroe, Co. Clare",153,136,71,65,-17,-11.1
 ,"021 Killinaboy, Co. Clare",342,348,169,179,6,1.8
 ,"022 Kiltoraght, Co. Clare",195,191,88,103,-4,-2.1
 ,"023 Muckanagh, Co. Clare",319,299,171,128,-20,-6.3
 ,"024 Rath, Co. Clare",275,255,126,129,-20,-7.3
 ,"025 Ruan, Co. Clare",723,719,352,367,-4,-0.6
 ,"Ennis rural area, Co. Clare",30924,31831,15763,16068,907,2.9
 ,"026 Clareabbey (Part Rural), Co. Clare",2922,2991,1465,1526,69,2.4
 ,"027 Clenagh, Co. Clare",10058,10322,5131,5191,264,2.6
 ,"028 Crusheen, Co. Clare",865,935,455,480,70,8.1
 ,"029 Doora (Part Rural), Co. Clare",1525,1636,801,835,111,7.3
 ,"030 Drumline, Co. Clare",852,970,470,500,118,13.8
 ,"031 Dysert, Co. Clare",323,314,166,148,-9,-2.8
 ,"032 Ennis Rural (Part Rural), Co. Clare",2543,2543,1242,1301,0,0
 ,"033 Furroor, Co. Clare",284,282,140,142,-2,-0.7
 ,"034 Kilcloher, Co. Clare",689,718,374,344,29,4.2
 ,"035 Killanniv, Co. Clare",775,764,374,390,-11,-1.4
 ,"036 Killone, Co. Clare",582,614,303,311,32,5.5
 ,"037 Kilnamona, Co. Clare",852,876,428,448,24,2.8
 ,"038 Kilraghtis, Co. Clare",442,494,233,261,52,11.8
 ,"039 Kinturk, Co. Clare",258,250,121,129,-8,-3.1
 ,"040 Newmarket, Co. Clare",1905,1957,980,977,52,2.7
 ,"041 Sixmilebridge, Co. Clare",2604,2682,1328,1354,78,3
 ,"042 Spancelhill (Part Rural), Co. Clare",643,653,349,304,10,1.6
 ,"043 Templemaley, Co. Clare",1199,1204,595,609,5,0.4
 ,"044 Tomfinlough, Co. Clare",654,663,341,322,9,1.4
 ,"045 Urlan, Co. Clare",949,963,467,496,14,1.5
 ,"Ennistimon rural area, Co. Clare",10228,10466,5266,5200,238,2.3
 ,"046 Annagh, Co. Clare",508,503,269,234,-5,-1
 ,"047 Ballagh, Co. Clare",200,190,100,90,-10,-5
 ,"048 Ballyea, Co. Clare",714,753,379,374,39,5.5
 ,"049 Ballysteen, Co. Clare",363,339,170,169,-24,-6.6
 ,"050 Ballyvaskin, Co. Clare",407,401,201,200,-6,-1.5
 ,"051 Cloghaun, Co. Clare",206,198,100,98,-8,-3.9
 ,"052 Cloonanaha, Co. Clare",282,268,135,133,-14,-5
 ,"053 Clooney, Co. Clare",269,260,137,123,-9,-3.3
 ,"054 Ennistimon, Co. Clare",2215,2338,1139,1199,123,5.6
 ,"055 Formoyle, Co. Clare",219,210,101,109,-9,-4.1
 ,"056 Kilfenora, Co. Clare",459,408,193,215,-51,-11.1
 ,"057 Killaspuglonane, Co. Clare",270,274,139,135,4,1.5
 ,"058 Killilagh, Co. Clare",723,828,427,401,105,14.5
 ,"059 Kilshanny, Co. Clare",110,141,82,59,31,28.2
 ,"060 Liscannor, Co. Clare",374,354,171,183,-20,-5.3
 ,"061 Lurraga, Co. Clare",245,258,127,131,13,5.3
 ,"062 Magherareagh, Co. Clare",297,288,155,133,-9,-3
 ,"063 Milltown Malbay, Co. Clare",1580,1621,802,819,41,2.6
 ,"064 Moy, Co. Clare",645,689,357,332,44,6.8
 ,"065 Smithstown, Co. Clare",142,145,82,63,3,2.1
 ,"Killadysert rural area, Co. Clare",4771,4749,2396,2353,-22,-0.5
 ,"066 Ballynacally, Co. Clare",257,239,109,130,-18,-7
 ,"067 Clondagad, Co. Clare",643,648,324,324,5,0.8
 ,"068 Coolmeen, Co. Clare",222,232,127,105,10,4.5
 ,"069 Kilchreest, Co. Clare",429,440,224,216,11,2.6
 ,"070 Kilfiddane, Co. Clare",364,324,165,159,-40,-11
 ,"071 Killadysert, Co. Clare",922,905,446,459,-17,-1.8
 ,"072 Killofin, Co. Clare",333,331,175,156,-2,-0.6
 ,"073 Kilmurry, Co. Clare",294,287,140,147,-7,-2.4
 ,"074 Liscasey, Co. Clare",542,575,284,291,33,6.1
 ,"075 Lisheen, Co. Clare",569,585,304,281,16,2.8
 ,"076 Rinealon, Co. Clare",196,183,98,85,-13,-6.6
 ,"Kilrush rural area, Co. Clare",10697,10312,5250,5062,-385,-3.6
 ,"077 Cahermurphy, Co. Clare",196,201,106,95,5,2.6
 ,"078 Cloonadrum, Co. Clare",447,471,241,230,24,5.4
 ,"079 Clooncoorha, Co. Clare",371,379,195,184,8,2.2
 ,"080 Cooraclare, Co. Clare",535,524,270,254,-11,-2.1
 ,"081 Creegh, Co. Clare",466,422,210,212,-44,-9.4
 ,"082 Doonbeg, Co. Clare",761,765,392,373,4,0.5
 ,"083 Drumellihy, Co. Clare",447,418,223,195,-29,-6.5
 ,"084 Einagh, Co. Clare",324,328,159,169,4,1.2
 ,"085 Glenmore, Co. Clare",354,335,172,163,-19,-5.4
 ,"086 Kilballyowen, Co. Clare",286,262,134,128,-24,-8.4
 ,"087 Kilfearagh, Co. Clare",383,350,185,165,-33,-8.6
 ,"088 Kilkee, Co. Clare",1037,914,452,462,-123,-11.9
 ,"089 Killard, Co. Clare",274,265,129,136,-9,-3.3
 ,"090 Killimer, Co. Clare",498,478,247,231,-20,-4
 ,"091 Kilmihil, Co. Clare",626,640,317,323,14,2.2
 ,"092 Kilmurry, Co. Clare",706,711,358,353,5,0.7
 ,"093 Kilrush Rural, Co. Clare",748,720,380,340,-28,-3.7
 ,"094 Knock, Co. Clare",244,241,131,110,-3,-1.2
 ,"095 Knocknaboley, Co. Clare",307,294,151,143,-13,-4.2
 ,"096 Knocknagore, Co. Clare",226,214,106,108,-12,-5.3
 ,"097 Moveen, Co. Clare",94,86,44,42,-8,-8.5
 ,"098 Moyarta, Co. Clare",237,224,115,109,-13,-5.5
 ,"099 Mullagh, Co. Clare",224,193,103,90,-31,-13.8
 ,"100 Querrin, Co. Clare",199,190,93,97,-9,-4.5
 ,"101 Rahona, Co. Clare",349,328,162,166,-21,-6
 ,"102 St. Martin's, Co. Clare",104,100,48,52,-4,-3.8
 ,"103 Tullig, Co. Clare",121,110,55,55,-11,-9.1
 ,"104 Tullycreen, Co. Clare",133,149,72,77,16,12
 ,"Meelick rural area (formerly Limerick No. 2), Co. Clare",16552,16739,8393,8346,187,1.1
 ,"105 Ballycannan, Co. Clare",1144,1166,621,545,22,1.9
 ,"106 Ballyglass, Co. Clare",5860,5925,2918,3007,65,1.1
 ,"107 Cappavilla, Co. Clare",1038,847,405,442,-191,-18.4
 ,"108 Castlecrine, Co. Clare",443,474,235,239,31,7
 ,"109 Cloghera, Co. Clare",592,581,293,288,-11,-1.9
 ,"110 Cloontra, Co. Clare",259,270,134,136,11,4.2
 ,"111 Cratloe, Co. Clare",1439,1517,761,756,78,5.4
 ,"112 Fahymore, Co. Clare",333,338,174,164,5,1.5
 ,"113 Killeely, Co. Clare",760,793,396,397,33,4.3
 ,"114 Killokennedy, Co. Clare",151,141,72,69,-10,-6.6
 ,"115 Kilseily, Co. Clare",729,737,364,373,8,1.1
 ,"116 Kiltenanlea, Co. Clare",1805,1906,972,934,101,5.6
 ,"117 Lackareagh, Co. Clare",135,133,79,54,-2,-1.5
 ,"118 Mountievers, Co. Clare",1226,1284,649,635,58,4.7
 ,"119 O'Briensbridge, Co. Clare",638,627,320,307,-11,-1.7
 ,"Scarriff rural area, Co. Clare",7360,7446,3700,3746,86,1.2
 ,"120 Ayle, Co. Clare",290,233,129,104,-57,-19.7
 ,"121 Boherglass, Co. Clare",287,291,152,139,4,1.4
 ,"122 Caherhurley, Co. Clare",220,191,93,98,-29,-13.2
 ,"123 Cahermurphy, Co. Clare",61,54,31,23,-7,-11.5
 ,"124 Cappaghabaun, Co. Clare",154,150,78,72,-4,-2.6
 ,"125 Carrowbaun, Co. Clare",142,110,54,56,-32,-22.5
 ,"126 Cloonusker, Co. Clare",192,213,91,122,21,10.9
 ,"127 Coolreagh, Co. Clare",231,184,94,90,-47,-20.3
 ,"128 Corlea, Co. Clare",121,116,51,65,-5,-4.1
 ,"129 Derrynagittagh, Co. Clare",149,140,73,67,-9,-6
 ,"130 Drummaan, Co. Clare",585,605,300,305,20,3.4
 ,"131 Feakle, Co. Clare",367,351,173,178,-16,-4.4
 ,"132 Inishcaltra North, Co. Clare",280,286,146,140,6,2.1
 ,"133 Inishcaltra South, Co. Clare",34,32,16,16,-2,-5.9
 ,"134 Killaloe, Co. Clare",1826,2044,1007,1037,218,11.9
 ,"135 Mountshannon, Co. Clare",364,423,217,206,59,16.2
 ,"136 Ogonnelloe, Co. Clare",696,743,370,373,47,6.8
 ,"137 Scarriff, Co. Clare",1361,1280,625,655,-81,-6
 ,"Tulla rural area, Co. Clare",7647,7712,3880,3832,65,0.9
 ,"138 Ballyblood, Co. Clare",123,154,83,71,31,25.2
 ,"139 Ballynahinch, Co. Clare",260,262,129,133,2,0.8
 ,"140 Caher, Co. Clare",211,228,125,103,17,8.1
 ,"141 Clooney, Co. Clare",475,508,253,255,33,6.9
 ,"142 Dangan, Co. Clare",221,225,119,106,4,1.8
 ,"143 Glendree, Co. Clare",182,175,75,100,-7,-3.8
 ,"144 Kilkishen, Co. Clare",946,953,475,478,7,0.7
 ,"145 Killanena, Co. Clare",255,257,132,125,2,0.8
 ,"146 Killuran, Co. Clare",412,416,217,199,4,1
 ,"147 Kiltannon, Co. Clare",198,196,92,104,-2,-1
 ,"148 Kyle, Co. Clare",315,314,160,154,-1,-0.3
 ,"149 Loughea, Co. Clare",169,151,80,71,-18,-10.7
 ,"150 Newgrove, Co. Clare",293,280,145,135,-13,-4.4
 ,"151 Quin, Co. Clare",1454,1479,717,762,25,1.7
 ,"152 Rathclooney, Co. Clare",149,133,69,64,-16,-10.7
 ,"153 Rossroe, Co. Clare",745,733,374,359,-12,-1.6
 ,"154 Toberbreeda, Co. Clare",160,163,89,74,3,1.9
 ,"155 Tulla, Co. Clare",1079,1085,546,539,6,0.6
 ,Cork,519032,542196,268221,273975,23164,4.5
 ,Cork City,119230,125622,61677,63945,6392,5.4
 ,"001 Ballinlough A, Cork City",756,787,377,410,31,4.1
 ,"002 Ballinlough B, Cork City",1740,1759,827,932,19,1.1
 ,"003 Ballinlough C, Cork City",1495,1470,706,764,-25,-1.7
 ,"004 Ballyphehane A, Cork City",609,652,335,317,43,7.1
 ,"005 Ballyphehane B, Cork City",834,805,405,400,-29,-3.5
 ,"006 Bishopstown A, Cork City",1326,2240,1058,1182,914,68.9
 ,"007 Bishopstown B, Cork City",1950,1943,997,946,-7,-0.4
 ,"008 Bishopstown C, Cork City",4726,4923,2347,2576,197,4.2
 ,"009 Bishopstown D, Cork City",1473,1489,725,764,16,1.1
 ,"010 Bishopstown E, Cork City",3072,3274,1514,1760,202,6.6
 ,"011 Blackpool A, Cork City",663,688,349,339,25,3.8
 ,"012 Blackpool B, Cork City",1827,2175,1199,976,348,19
 ,"013 Browningstown, Cork City",1011,1045,476,569,34,3.4
 ,"014 Centre A, Cork City",837,865,491,374,28,3.3
 ,"015 Centre B, Cork City",1935,2146,1105,1041,211,10.9
 ,"016 Churchfield, Cork City",1522,1576,832,744,54,3.5
 ,"017 City Hall A, Cork City",804,808,449,359,4,0.5
 ,"018 City Hall B, Cork City",1201,1175,563,612,-26,-2.2
 ,"019 Commons, Cork City",885,961,478,483,76,8.6
 ,"020 Evergreen, Cork City",1262,1416,728,688,154,12.2
 ,"021 Fair Hill A, Cork City",681,717,351,366,36,5.3
 ,"022 Fair Hill B, Cork City",777,749,353,396,-28,-3.6
 ,"023 Fair Hill C, Cork City",3715,3604,1798,1806,-111,-3
 ,"024 Farranferris A, Cork City",1812,2014,1034,980,202,11.1
 ,"025 Farranferris B, Cork City",887,928,445,483,41,4.6
 ,"026 Farranferris C, Cork City",608,603,283,320,-5,-0.8
 ,"027 Gillabbey A, Cork City",1941,2419,1171,1248,478,24.6
 ,"028 Gillabbey B, Cork City",928,1096,490,606,168,18.1
 ,"029 Gillabbey C, Cork City",1563,2208,897,1311,645,41.3
 ,"030 Glasheen A, Cork City",703,814,397,417,111,15.8
 ,"031 Glasheen B, Cork City",723,687,323,364,-36,-5
 ,"032 Glasheen C, Cork City",2659,2728,1229,1499,69,2.6
 ,"033 Greenmount, Cork City",2045,2061,1003,1058,16,0.8
 ,"034 Gurranebraher A, Cork City",763,772,397,375,9,1.2
 ,"035 Gurranebraher B, Cork City",565,582,301,281,17,3
 ,"036 Gurranebraher C, Cork City",979,1050,559,491,71,7.3
 ,"037 Gurranebraher D, Cork City",888,945,453,492,57,6.4
 ,"038 Gurranebraher E, Cork City",1107,1146,554,592,39,3.5
 ,"039 Knocknaheeny, Cork City",4301,4050,1913,2137,-251,-5.8
 ,"040 Knockrea A, Cork City",1472,1484,756,728,12,0.8
 ,"041 Knockrea B, Cork City",1114,1048,520,528,-66,-5.9
 ,"042 Mahon A, Cork City",4931,5072,2384,2688,141,2.9
 ,"043 Mahon B, Cork City",4843,4943,2344,2599,100,2.1
 ,"044 Mahon C, Cork City",3330,3298,1628,1670,-32,-1
 ,"045 Mardyke, Cork City",636,839,432,407,203,31.9
 ,"046 Mayfield, Cork City",2890,2928,1344,1584,38,1.3
 ,"047 Montenotte A, Cork City",1619,1684,821,863,65,4
 ,"048 Montenotte B, Cork City",2494,2450,1125,1325,-44,-1.8
 ,"049 Pouladuff A, Cork City",799,736,350,386,-63,-7.9
 ,"050 Pouladuff B, Cork City",1668,1668,802,866,0,0
 ,"051 St. Patrick's A, Cork City",1299,1607,859,748,308,23.7
 ,"052 St. Patrick's B, Cork City",1137,1166,700,466,29,2.6
 ,"053 St. Patrick's C, Cork City",786,852,429,423,66,8.4
 ,"054 Shanakiel, Cork City",3423,3637,1775,1862,214,6.3
 ,"055 Shandon A, Cork City",1625,1731,914,817,106,6.5
 ,"056 Shandon B, Cork City",1057,1388,741,647,331,31.3
 ,"057 South Gate A, Cork City",2003,2134,1120,1014,131,6.5
 ,"058 South Gate B, Cork City",785,963,501,462,178,22.7
 ,"059 Sundays Well A, Cork City",649,700,359,341,51,7.9
 ,"060 Sundays Well B, Cork City",727,878,464,414,151,20.8
 ,"061 The Glen A, Cork City",2354,2459,1319,1140,105,4.5
 ,"062 The Glen B, Cork City",3775,3701,1802,1899,-74,-2
 ,"063 The Lough, Cork City",1396,1622,767,855,226,16.2
 ,"064 Tivoli A, Cork City",1505,1695,934,761,190,12.6
 ,"065 Tivoli B, Cork City",2587,2749,1341,1408,162,6.3
 ,"066 Togher A, Cork City",2130,2057,999,1058,-73,-3.4
 ,"067 Togher B, Cork City",683,700,335,365,17,2.5
 ,"068 Tramore A, Cork City",843,789,388,401,-54,-6.4
 ,"069 Tramore B, Cork City",1029,1038,492,546,9,0.9
 ,"070 Tramore C, Cork City",2985,2968,1404,1564,-17,-0.6
 ,"071 Turners Cross A, Cork City",758,814,412,402,56,7.4
 ,"072 Turners Cross B, Cork City",1225,1201,612,589,-24,-2
 ,"073 Turners Cross C, Cork City",649,782,369,413,133,20.5
 ,"074 Turners Cross D, Cork City",451,471,223,248,20,4.4
 ,Cork County,399802,416574,206544,210030,16772,4.2
 ,Clonakilty Town,4000,4057,1935,2122,57,1.4
 ,"001 Clonakilty Urban, Co. Cork",4000,4057,1935,2122,57,1.4
 ,"Cobh Town, Co. Cork",6500,6506,3213,3293,6,0.1
 ,"002 Cobh Urban, Co. Cork",6500,6506,3213,3293,6,0.1
 ,"Fermoy Town, Co. Cork",2223,2272,1143,1129,49,2.2
 ,"003 Fermoy Urban, Co. Cork",2223,2272,1143,1129,49,2.2
 ,"Kinsale Town, Co. Cork",2198,2413,1157,1256,215,9.8
 ,"004 Kinsale Urban, Co. Cork",2198,2413,1157,1256,215,9.8
 ,"Macroom Town, Co. Cork",3738,3928,1917,2011,190,5.1
 ,"005 Macroom Urban, Co. Cork",3738,3928,1917,2011,190,5.1
 ,"Mallow Town, Co. Cork",8578,8794,4258,4536,216,2.5
 ,"006 Mallow North Urban, Co. Cork",5795,6055,2931,3124,260,4.5
 ,"007 Mallow South Urban, Co. Cork",2783,2739,1327,1412,-44,-1.6
 ,"Midleton Town, Co. Cork",3733,3879,1909,1970,146,3.9
 ,"008 Midleton Urban, Co. Cork",3733,3879,1909,1970,146,3.9
 ,"Skibbereen Town, Co. Cork",2568,2691,1303,1388,123,4.8
 ,"009 Skibbereen Urban, Co. Cork",2568,2691,1303,1388,123,4.8
 ,"Youghal Town, Co. Cork",6990,7101,3488,3613,111,1.6
 ,"010 Youghal Urban, Co. Cork",6990,7101,3488,3613,111,1.6
 ,"325 Youghal Rural (Part Urban), Co. Cork",0,0,0,0,0,0
 ,"Bandon rural area, Co. Cork",22772,23858,11982,11876,1086,4.8
 ,"011 Ballinadee, Co. Cork",486,529,263,266,43,8.8
 ,"012 Ballygroman, Co. Cork",1572,1675,846,829,103,6.6
 ,"013 Ballymodan, Co. Cork",4469,4481,2183,2298,12,0.3
 ,"014 Ballymurphy, Co. Cork",1016,1017,524,493,1,0.1
 ,"015 Bandon, Co. Cork",1920,2000,1069,931,80,4.2
 ,"016 Baurleigh, Co. Cork",324,363,192,171,39,12
 ,"017 Bengour, Co. Cork",279,294,151,143,15,5.4
 ,"018 Boulteen, Co. Cork",645,652,324,328,7,1.1
 ,"019 Brinny, Co. Cork",695,651,322,329,-44,-6.3
 ,"020 Cashel, Co. Cork",390,421,205,216,31,7.9
 ,"021 Inishannon, Co. Cork",1788,1963,993,970,175,9.8
 ,"022 Kilbonane, Co. Cork",1271,1269,645,624,-2,-0.2
 ,"023 Kilbrittain, Co. Cork",595,632,307,325,37,6.2
 ,"024 Kilbrogan, Co. Cork",1999,2382,1187,1195,383,19.2
 ,"025 Knockavilly, Co. Cork",427,464,235,229,37,8.7
 ,"026 Knockroe, Co. Cork",690,703,345,358,13,1.9
 ,"027 Moviddy, Co. Cork",1396,1422,694,728,26,1.9
 ,"028 Murragh, Co. Cork",464,524,268,256,60,12.9
 ,"029 Rathclarin, Co. Cork",702,699,337,362,-3,-0.4
 ,"030 Teadies, Co. Cork",908,919,461,458,11,1.2
 ,"031 Templemartin, Co. Cork",736,798,431,367,62,8.4
 ,"Bantry rural area, Co. Cork",9673,9383,4591,4792,-290,-3
 ,"032 Ahil, Co. Cork",221,209,104,105,-12,-5.4
 ,"033 Bantry Rural, Co. Cork",1072,1077,543,534,5,0.5
 ,"034 Bantry Urban, Co. Cork",3348,3226,1553,1673,-122,-3.6
 ,"035 Douce, Co. Cork",216,226,116,110,10,4.6
 ,"036 Durrus East, Co. Cork",291,271,139,132,-20,-6.9
 ,"037 Durrus West, Co. Cork",683,608,306,302,-75,-11
 ,"038 Glanlough, Co. Cork",180,200,98,102,20,11.1
